127.0.0.1 - - [14/Sep/2019:10:09:50 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:09:52 +0800] "GET /Shop/ HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:09:52 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:10:31 +0800] "GET /Shop/before HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:10:47 +0800] "GET /Shop/before HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:10:59 +0800] "GET /Shop/before HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:12 +0800] "GET /Shop/before.jsp HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:16 +0800] "GET /Shop/before HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:24 +0800] "GET /Shop/index2 HTTP/1.1" 200 16218
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:24 +0800] "GET /Shop/js/before/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:24 +0800] "GET /Shop/js/before/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:24 +0800] "GET /Shop/js/before/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:24 +0800] "GET /Shop/css/before/index.css HTTP/1.1" 200 7781
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:24 +0800] "GET /Shop/css/before/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:24 +0800] "GET /Shop/images/before/usercontent.png HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:24 +0800] "GET /Shop/images/before/cart.png HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:24 +0800] "GET /Shop/images/before/login.png HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:24 +0800] "GET /Shop/images/before/user.png HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:24 +0800] "GET /Shop/images/before/mylogo.png HTTP/1.1" 200 24453
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:24 +0800] "GET /Shop/images/before/register.png HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:24 +0800] "GET /Shop/logos/20190730141402623.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:24 +0800] "GET /Shop/getAddressInfo HTTP/1.1" 500 5565
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:24 +0800] "GET /Shop/logos/20190730141438500.jpg HTTP/1.1" 200 5934
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:24 +0800] "GET /Shop/logos/20190730141345686.jpg HTTP/1.1" 200 94422
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:24 +0800] "GET /Shop/logos/20190730141416536.jpg HTTP/1.1" 200 44542
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:24 +0800] "GET /Shop/images/before/notice.png HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:24 +0800] "GET /Shop/logos/20190730141355184.jpg HTTP/1.1" 200 6852
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:25 +0800] "GET /Shop/images/before/index_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:25 +0800] "GET /Shop/images/before/index_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:25 +0800] "GET /Shop/images/before/index_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:25 +0800] "GET /Shop/logos/20190730141408790.jpg HTTP/1.1" 200 38540
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:33 +0800] "GET /Shop/user/log HTTP/1.1" 200 3253
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:33 +0800] "GET /Shop/css/css.css HTTP/1.1" 200 44375
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:33 +0800] "GET /Shop/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:33 +0800] "GET /Shop/css/bootsnav.css HTTP/1.1" 200 36642
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:33 +0800] "GET /Shop/css/bootstrap.min.css HTTP/1.1" 200 121125
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:33 +0800] "GET /Shop/css/normalize.css HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:33 +0800] "GET /Shop/js/TweenLite/TweenLite.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:33 +0800] "GET /Shop/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:33 +0800] "GET /Shop/js/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:33 +0800] "GET /Shop/js/TweenLite/rAF.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:33 +0800] "GET /Shop/js/TweenLite/demo-1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:33 +0800] "GET /Shop/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:33 +0800] "GET /Shop/js/TweenLite/EasePack.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:33 +0800] "GET /Shop/js/bootsnav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:33 +0800] "GET /Shop/images/bg_03.png HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:33 +0800] "GET /Shop/images/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:33 +0800] "GET /Shop/images/iconfont-yonghu.png HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:33 +0800] "GET /Shop/images/iconfont-psw.png HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:34 +0800] "POST /Shop/user/loginin HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:34 +0800] "GET /Shop/index2 HTTP/1.1" 200 15782
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:34 +0800] "GET /Shop/css/before/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:34 +0800] "GET /Shop/css/before/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:35 +0800] "GET /Shop/getAddressInfo HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:37 +0800] "GET /Shop/cart/selectCart HTTP/1.1" 200 3387
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:37 +0800] "GET /Shop/css/before/style.css HTTP/1.1" 200 45667
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:37 +0800] "GET /Shop/css/before/common.css HTTP/1.1" 200 5684
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:37 +0800] "GET /Shop/css/before/daohang.css HTTP/1.1" 200 11974
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:37 +0800] "GET /Shop/images/before/qjs.jpg HTTP/1.1" 200 17233
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:37 +0800] "GET /Shop/images/before/jxgw.jpg HTTP/1.1" 200 19838
